product_name,id,tag,tag 2,tag 3,tag 4,point,date,txt,txt 2,txt 3,txt_inner,num,point_flag,more_msg
디오디너리 히알루로닉 애시드,애플소다,복합성,웜톤,각질,모공,5점만점에 5점,2024.03.24,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"디오디너리 제품은 나이아신아마이드 10%+징크1%로 입문해서 현재도 잘 쓰고 있는데 거품없이 성분만으로 투명하게 판매하는 고집있는 브랜드라는 이미지라 더욱 신뢰가 갔어요. 디오디너리의 대표 수분 세럼이 이번에 새롭게 리뉴얼 되었더라구요. 얼마전 사적인 TMI에 소개되서 읽어보다 이 제품에 관심이 생겼는데 품절 풀렸을 때 냉큼 구매했어요. 기존껀 써보질 않아 비교는 어렵지만 5중 히알루론산과 세라마이드로 속보습부터 피부탄력까지 채우고, 피부의 다양한 층에 수분을 공급하며 보습이 지속되도록 제형을 가볍게 재탄생한 제품이라고 하는데 기존과는 제형의 차이가 큰 것 같아요. 예전에 지인한테 들은 말로 히알루론산은 미끌거리고 흡수가 더딘다는 인식이 있었는데 디오디너리 히알루로닉 애시드 2%+B5는 무거울거란 예상과는 다르게 물처럼 주륵 흐를 정도로 묽고 굉장히 매끄럽게 잘 펴발라져요. 처음엔 점도가 좀 있어서 끈적이나 싶었는데 순식간에 다 펴발리고 나면 잔여감없이 피부속에 다 쏙 먹어들어간 느낌으로 겉은 보송 속은 탄탄하게 수분이 채워진 느낌이 들었어요. 마무리감이 예상보다 너무 산뜻해서 놀랐고, 사용감이 좋더라구요. 피부에 탄력감이 느껴지고 쫀쫀해진 느낌이예요. 저녁에는 나이아신아마이드와 함께 써주고 있는데 잘 맞아요.오전에 써보고 화장 밀리면 저녁에만 써야지 했는데 그럴 필요가 없었어요. 수부지 복합성인 제 피부에는 당기는 느낌없이 적당했는데 건성분들은 이 보송한 마무리감이 건조하다 부족하다고 느끼실 수도 있을 것 같아 보습을 추가해주시는게 좋을 것 같아요. 용기는 약간 불투명한 유리병이라 내용물이 보이는데 완전 투명할거란 생각과는 달리 병 안에선 약간 노란빛이 돌더라구요. 향은 무향이고 향료가 없어 인위적인 향취는 없지만 원료적 향이 아주 미미하게 나는 것 같아요. 구매는 올영세일 첫날인 3월 1일에 했는데 배송은 거의 일주일만에 받았고 하필 뚜껑이 열린 채 포장되서 내용물이 샌 불량품을 받아 교환하느라 새상품을 18일에 받게 됐어요. 우여곡절이 있었지만 제품은 마음에 들어 다행이네요. 최근 입가 주변에 연고 부작용으로 인중부터 하관쪽으로 접촉성 피부염이 생겨 한동안 장벽케어 제품만 쓰고 겨우 가라앉았을 즈음 부터 이 제품을 써보게 됐는데 사용한지 얼마되지 않았지만 세라마이드와 판테놀인 B5가 들어있어서인지 피부에 자극없이 잘 맞더라구요. 상처가 아물면서 재생단계에 들어가다보니 각질이 생기고 건조했는데 즉각적으로 수분을 채울 수 있어 좋더라구요. 피부에 수분이 충분해야 피부가 탄력있고, 매끄럽게 건강한 피부로 가꿀 수 있다보니 잘 맞는 히알루론산 제품을 찾아서 만족스럽네요.",2,,
디오디너리 히알루로닉 애시드,뷰리롱,복합성,쿨톤,블랙헤드,,5점만점에 5점,2024.03.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,"아침저녁 이 제품으로 몇방울이면 자극없이 가벼운 제형으로 피부에 매끄러운 건강함을 선물합니다♡내가원하던 그 답, 바로 히알루로닉 애시드 2% + B5가 찾아주었어요!                                                           1)사용감>피부에 딱 바르자마자 흡수력이 좋았어요!따갑다거나 너무 찐득하다거나?그런것없이 물 흐르듯, 피부에 흡수되는게 느낌이 참, 좋습니다.(정말 민감한 피부 가진 우리가족한테도 발라봤는데 자극 1도 없다고함 ) 바르자마자 속보습을 채워주듯 보습_탄력 함께 채워주는 효과가 느껴져요! 피부결을 따라 마사지하듯이 롤링해주면서 코를 중심으로 피부결 따라 안에서 바깥으로 누르거나 두드려 흡수하기! 잊지마욤 !!         2)성분과 효과> 탄력/보습/진정/피부결/주름개선 까지?! 이 게 다 된다고?!!네 됩니다.귀차니즘 혹시 있으신가요?그럼 이 제품으로 시작해보세요!  확실히  순한 성분이라 그런지 피부에 바르는 즉시부터 바로 어떠한 자극조차 없이 흡수되었습니다!                                           3)사용해보면서 느낀점> 꾸준히 쓴다면, 속건조도 생기려는 얕은 주름도 잡을 수 있을 것 같아요,평소에 주름걱정은 잘 안했는데 올해들어서 팔자쪽주름이 살짝 느껴졌거든요?근데 이 부분 위주로도 잘 발라주었는데 효과봤어요! 특히  제품을 바르는 즉시/바르는 내내 흡수와 함께 부드러움이 느껴지면서도,하루하루 써볼수록, 피부를 보호해주는 듯한 느낌이 마음에 쏙 들었어요-! 추천합니다.",6,,
디오디너리 히알루로닉 애시드,융낭잉,건성,여름쿨톤,각질,다크서클,5점만점에 5점,2024.02.25,지성에 좋아요,보습에 좋아요,자극없이 순해요,"기초 제품이 똑 떨어져서 올리브영에서 폭풍 쇼핑을 하던 중 디오디너리를 발견했습니다!사실 처음에는 레티놀, 나이아신아마이드 제품 등만 구입하여 피부 컨디션에 맞춰 사용하려고 했는데, 둘러보다 보니 탐나는 제품이 많아서 장바구니에 점점 디오디너리 제품이 늘어갔고… 또 마침 히알루로닉 애시드가 리뉴얼 되었다길래 궁금해서 슬쩍 함께 구매했어요!ㅋㅋ 사용 후기를 말씀드리자면! 제가 디오디너리에서 이번에 구입한 세럼들은 대부분 유효 성분에 초점을 둔 클래식한 제품들이라 확실히 보습감이 떨어졌어요! (제가 건성 피부여서 더 크게 느꼈던 것 같습니다..) 때문에 피부를 촉촉하게 만들어 줄 제품이 추가로 필요했다는 점에서 정말 잘 샀다고 생각해요!저는 특히 낮에, 외출하기 전에 발라주고 있는데 바르고 나면 코팅 된 것 처럼 피부가 매끈해지더라고요! 그 위에 바른 화장이 밀리지도 않았고, 장시간 외출 후 집에 들어와서도 화장이 심하게 뜨거나 피부가 건조해지지 않아서 만족스러웠어요! 아! 그리고 피부에 자극도 없었어요!그래도 개인적으로는 겨울철엔 건성보다는 지,복합성 피부에게 더 맞을 수 있겠다는 생각이 들었고요, 물론 지금도 잘 쓰고 있지만 확실히 제형이 산뜻해서 저는 여름에 더 잘 쓸 수 있을 것 같아요!",1,,
디오디너리 히알루로닉 애시드,올영앤리치,건성,쿨톤,각질,민감성,5점만점에 5점,2024.02.20,건성에 좋아요,보습에 좋아요,자극없이 순해요,"제 화장대에 배열되어있는 디오디너리 보이시나요😁저는 착한 가격과 성분으로 유명한 디오디너리를 알게된 후나이아신아마이드와 히알루로닉, 토너와 레티노이드를 사용중이었는데마침 히알루로닉 세럼을 다 사용해서 ㅎㅎ올영에 보니 리뉴얼했더라고용넘 좋아서 바로 구매!전 화장품을 좀 오래사용하는 편이라 30ml,60ml중 30ml를 골랐어요~+추가) 3주동안 열심히 사용하고 적는 찐후기✨리뉴얼된 히알루로닉 애시드 2%+B5를 한마디로 정리하자면,,속보습 수분세럼입니다!저는 완전 극건성이라 크림을 두껍게 발라도 보습이 제대로 잡히지 않으면 금방 마르고 건조해져서 고민이었는데 디오디너리 히알루로닉 세럼을 바르고 나선 건조함이 확 줄어들어서 넘 애용하는 템이에요스킨케어 맨 처음에 피부에 얹어 1차적으로 충분한 수분과 보습을 디오디너리 히알루로닉 애시드로 채워주고 있어요🥹특히나 건조함을 잡아주고 피부속 보습을 탄탄하게 해주는 이유가히알루론산이 저,중,고분자로 교차결합과 가수분해 등 무려 5가지형태로 들어있어 겉부터 속까지 수분을 공급해줘요채워준 수분이 날아가지 않도록 보호하고 피부장벽에도 도움을 부는 세라마이드,앞서 말한 주요성분들의 효과를 끌어올려주는 프로-비타민B5가 들어가있어 피부를 오래 촉촉하게 유지할 수 있도록 해주는거 같아요👍(성분이 미쳐버려😍)그리고 수분공급,피부결,주름-탄력케어에도 임상결과 테스트로 도움을 준다는걸 알 수 있어서 보습 뿐 아니라 여러가지도 관리하고 싶은 욕심덩어리인 저에게 딱 맞는 제품😘참고로 넛,오일,알콜,실리콘,글루텐,크루얼티 프리라는 점,,,!!💯✅리뉴얼된 히알루로닉세럼에 대해 좀 더 얘기해보자면 제형이 업그레이드 되서 더 기대감이 있었는데 확실히 더 부드러워졌어요!가벼운 제형이라 빠르게 흡수되어 수분이 속속 채워지고마무리감도 끈적함이 없어다음 단계에 발라줄 기초제품이 섞이지 않는 것 같아 좋았어요흡수가 빨라도 바르고 1분 정도는 챱챱해주다가 다음단계 기초 바르는거 추천입니다!이렇게 해주면 정말 피부 속부터 정말 탄탄하게 보습되서 건조함이 없거든요 ㅎㅎㅎ피부에 수분이 가득채워져서 피부가 탱탱해지니 잔주름케어에도 좋을 것 같네요!건조함으로 고민이신 분들, 속보습 관리하고 싶으신 분들께 적극 추천합니다!도움되셨길~~",9,,
디오디너리 히알루로닉 애시드,ks****,,,,,5점만점에 5점,2025.06.07,복합성에 좋아요,보습에 좋아요,자극없이 순해요,건조해서 찾다가 구매했어요 워낙 유명한 제품이기도 하고 겨울보단 여름에 건조피부에 완전 만족이요,0,,
디오디너리 히알루로닉 애시드,sis****,,,,,5점만점에 3점,2025.05.25,지성에 좋아요,보습에 좋아요,보통이에요,디오디너리 공홈에서 구매하고 다 써서 올영에서 새로 샀는데 제조한지 1년 5개월이 지난 걸 보내주네요. 앞에 썼던거랑 제조 일자도 비슷하고.. 좀 .. 재고처리 느낌나네요.,0,,
디오디너리 히알루로닉 애시드,ansru****,,,,,5점만점에 5점,2025.05.19,복합성에 좋아요,진정에 좋아요,보통이에요,유튜버가 추천해서 샀는데 초 저 고분자 다 들어있는 히알루론산 이라고 했어요. 한 달 사용 리뷰 남겨 보겠습니다. 지금까진 좋아요.,0,,
디오디너리 히알루로닉 애시드,듀듀정,지성,웜톤,잡티,트러블,5점만점에 5점,2024.07.25,건성에 좋아요,보습에 좋아요,자극없이 순해요,피부가보들보들아주좋아요특히나가격도착하고요 굿입니당,4,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,뷰리롱,복합성,쿨톤,블랙헤드,,5점만점에 5점,2024.05.31,복합성에 좋아요,진정에 좋아요,자극이 느껴져요,워낙좋아하느브랜드라믿고샀어요역시좋아요가격이착하구요!,4,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,Today옝,트러블성,봄웜톤,모공,트러블,5점만점에 3점,2024.04.02,지성에 좋아요,보습에 좋아요,보통이에요,민감성인 사람들피하세요.가장 높은 수분감을 찾으려다가 욕심에 그만 ㅠㅠ이거 진짜 고농도라 화ㅎ라는 앱 보면 쓰렵고 자극적이다는 리뷰가 있었어용 ..아니나 다를까 저도 ..진짜 쓰렵더라구요 ㅠㅠ암튼 민감성은 진짜 비추요 ...,4,,
디오디너리 히알루로닉 애시드,듀듀정,지성,웜톤,잡티,트러블,5점만점에 5점,2024.03.27,건성에 좋아요,보습에 좋아요,자극없이 순해요,기간이 짧은 게 좀 아쉬운 것 같아요우연히 써보고 30미리 쓰는데피부가 부드러워지네요,5,,
디오디너리 히알루로닉 애시드,신빵댕,,,,,5점만점에 5점,2025.06.21,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"이건 가성비 갑. 히알루론산이 이렇게 찐하게 들어있는데 이 가격이면 대만족이에요. 흡수는 조금 시간이 필요하지만, 그만큼 보습력은 확실해요. 바르고 자면 다음날 속당김 없는 피부! 단독보단 다른 크림이랑 같이 쓰는 게 더 좋아요.",0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,밍주ㅇㅅㅇ,지성,겨울쿨톤,모공,민감성,5점만점에 3점,2025.06.04,지성에 좋아요,진정에 좋아요,자극이 느껴져요,피부가 마르듯이 잡아 당겨져요. 때처럼 밀려나와서 별로얐어오,1,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,슬잉잉,지성,웜톤,각질,모공,5점만점에 5점,2025.06.01,건성에 좋아요,보습에 좋아요,자극이 느껴져요,제피부에는 자극이 조금 있어서 바로 중단했어요먼가 각질부각이 심해지는느낌..,0,,
디오디너리 히알루로닉 애시드,눈누난나10,복합성,웜톤,미백,블랙헤드,5점만점에 5점,2025.05.23,복합성에 좋아요,보습에 좋아요,자극없이 순해요,정착해서 쓰고싶은 제품 가성비랑 제품 효과모두 좋아요!! 다른라인도 써보고싷네요,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,눈누난나10,복합성,웜톤,미백,블랙헤드,5점만점에 5점,2025.05.23,건성에 좋아요,보습에 좋아요,자극없이 순해요,두통째사용중이에요!오래바르니까 확실히 세안후 댕김이 덜해요. 트러블도안나고 좋아요!,0,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.
디오디너리 히알루로닉 애시드,재미져요,복합성,겨울쿨톤,탄력,,5점만점에 5점,2025.07.08,복합성에 좋아요,진정에 좋아요,보통이에요,몇번째 재구매하는 제품!! 올영이 할인도 자주하고 이 제품 너무 좋아용! ㅋㅋㅋ,0,,
디오디너리 히알루로닉 애시드,atinygift,복합성,가을웜톤,민감성,잡티,5점만점에 5점,2025.06.02,복합성에 좋아요,진정에 좋아요,보통이에요,수분 부족할 때 사용하려고 구매했어요 좋아요 수븐이 채워져여,0,,
디오디너리 히알루로닉 애시드,happpilyeverafter,지성,봄웜톤,다크서클,민감성,5점만점에 5점,2025.05.31,건성에 좋아요,보습에 좋아요,자극없이 순해요,끈적끈적하긴 하지만 흡수 잘 시켜주면 맨들맨들해지고 촉촉해지는 느낌이 들어요,0,,
디오디너리 히알루로닉 애시드,나는까만올리브,복합성,웜톤,모공,민감성,5점만점에 4점,2025.05.23,복합성에 좋아요,진정에 좋아요,보통이에요,디오디너리 상품들은 효과는 좋은 것 같아요 가성비도 좋구요그런데 제형이 좋지 않아서 저같이 저녁에 스킨케어에 시간을 많이 못쓰는 사람은 잘 손이 안가게 되는것 같아요 ㅜ ㅜ,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,투투쏘영,민감성,가을웜톤,민감성,아토피,5점만점에 5점,2024.03.24,건성에 좋아요,보습에 좋아요,자극없이 순해요,"피부 컨디션 : 민감성 피부, 아토피, 건성 피부, 30대 여성 피부 고민 : 아토피로 인한 손가락 잔주름아토피 때문에 손을 반복적으로 긁어서 상처를 내고 어설픈 피부 회복으로 인한 잔주름이 많아졌어요. 잔주름을 다 리미처럼 필 순 없지만 보습을 잘해주면 다시 회복되더라구요. 그래서 저는 손을 위한 수분케어도 전용으로 하고 있어요. 다양한 히알루론산 제품을 써봤습니다. 제형 : 디오디너리 제품은 이번에 처음 써봤는데 제형이 신기하네요! 점성이 있으면서도 잘 흘려내려서 바르기가 좋아요. 덕분에 쫀득함도 잡으면서 흡수도 더 잘되는 것 같아요. 성분 : 5중 히알루론산, 세라마이드, 프로 비타민B5를 모두 잡았네요. 피부 수분 케어와 함께 주름 관리도 가능한 점이 정말 좋았어요.사용 후기 : 처음엔 손 케어를 위해서 구매했는데 제형과 성분이 맘에 들어서 얼굴에도 바르고 있어요. 제가 아토피 피부, 민감성 피부, 악건성 피부 모두 모아놓은 사람인데 스킨 바른 후 디오디너리 제품으로 피부 속까지 채우니 로션 단계에서 가볍게 발라줘도 촉촉하더라고요. 저는 단계별로 물타입, 세럼타입, 로션타입, 크림타입,오일 타입 순서대로 나눠서 바르는 편인데 디오디너리 제품을 바르고 난 후에는 밸런스를 잡기 위해 크림은 생략하고 있어요. 속건조가 꽉 잡히는 느낌이 들거든요 ! 앞으론 디오디너리로 정착하려고 합니다. 가격도 저렴하고 정말 좋아요.",1,,
디오디너리 히알루로닉 애시드,Lemonmelon,지성,쿨톤,모공,블랙헤드,5점만점에 5점,2024.03.13,복합성에 좋아요,보습에 좋아요,자극없이 순해요,기존제품 한통써보고 맘에들어서 재구매후 쓰는중인데 세일이기도하고 리뉴얼제품이라길래 하나더 쟁였어요 색상이 투명이엇는데 살짝더 노래졌네요 보습잘되고 쫀득한 느낌이좋아서 잘쓰고있었는데 더좋아졌다니 쓰던거 얼른다쓰고 써보려구요,0,,
디오디너리 히알루로닉 애시드,문도리,복합성,웜톤,각질,모공,5점만점에 5점,2024.03.02,복합성에 좋아요,보습에 좋아요,자극없이 순해요,"본인 피부 : 복합성, 특히 화장시 각질부각은 항상 있는 편이지만 기름기도 다분함.  이번에 쓰던 수분앰플이 떨어지면서, 디오디너리의 히알루로닉 앰플을 구매하게 되었는데요! 다른 히알루론앰플들과 마찬가지로 물같은 제형일 줄 알았던 제 생각과 다르게 진득한 느낌을 머금고 있던 제품이에요.저는 디오디너리의 글리코릭 애시드 토너를 발라주고 흡수 시킨 뒤에 히알루로닉 앰플을 올렸는데 토너가 제 피부를 부드럽게(정말찐부드러움!!) 만들어줬다면 이 앰플로 제 피부를 쫀쫀하게 확 잡아주는 느낌이더라구요! (자기 전 나이트 루틴으로 애시드토너+히알루로닉 앰플 조합은 크림을 안올려도 된다고 생각할만큼의 보습 꿀 조합이라고 생각합니다 :) !!!)어느정도냐면 앰플을 올리고 쫀쫀해진 피부 표면에 평상시 제가 나이트 크림으로 사용하는 제품이 정말 더 꾸덕하게 올라가서 바를 때 크림을 앰플 후 처음 바르는데도 불구하고 이미 바른 후에 덧바르는 것 같은 느낌이 강했다? 정도였던거 같아요! 그래서 건조해지는 가을이나 겨울에 특히 효능이 더 좋을 거 같아요ㅎㅎ 보습감이나 쫀쫀함의 유지력도 좋아서 요철이 걱정되시는 분이나 속건조가 느껴지는 분 혹은 갑자기 얼굴에 각질이 올라와서 한번 순하지만 강하게 진정시키기를 원하는 분들(특히 위에 조합 강추)이 사용하시는거 정말 추천합니다! 저는 아마 이번 앰플을 다 쓰면 조금 더 큰용량으로 재구매를 할거같습니다 :) 다른 수분 앰플 특유의 물같음은 사실 흡수가 잘 되지않는거 같아서 저는 더더욱 맘에 들었네요~(+제가 너무 보습면을 부각해서 ‘너무 무거울듯하다’ 싶으신 분들께 말씀드리자면, 바른 후 1-2시간이면 큰 끈적임 없이 얼굴에 붙어서 흡수가 됩니당!!)",0,,
디오디너리 히알루로닉 애시드,포모롱롱,복합성,쿨톤,모공,탄력,5점만점에 3점,2025.03.29,건성에 좋아요,보습에 좋아요,보통이에요,23년도꺼가 남아있는데 좀 오래되서 재구매한건데 23년도 11월 제조한 게 왔네요…ㅎ 사용하기에 이상 없다는 데 아무래도 이렇게 오래된 거는 좀 찜찜하네요,1,,
디오디너리 히알루로닉 애시드,른른이,건성,웜톤,모공,미백,5점만점에 5점,2025.03.03,건성에 좋아요,보습에 좋아요,자극없이 순해요,부드럽게 잘 발리고촉촉해져요크림에 한두방울 넣어 같이 바르고 있어요,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,다빛,복합성,겨울쿨톤,각질,모공,5점만점에 4점,2025.03.03,복합성에 좋아요,진정에 좋아요,보통이에요,히알루론산 둘오간 가성바 재품 찾다가 구매 해 봐요 한달둬에 다시 돌아와서 후기 알려 드릴게요,0,,
디오디너리 히알루로닉 애시드,오둥,복합성,겨울쿨톤,모공,미백,5점만점에 5점,2025.01.10,건성에 좋아요,보습에 좋아요,자극없이 순해요,저는 이제품 매우 만족해요 보습력이 뛰어나다까진 아니지만 수분세럼바르고 이제품까지 바르고 안바르고의 차이는 확실히 있는거같아요 재구매의사 백퍼요~~~,1,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,짜이짱,,,,,5점만점에 4점,2024.12.12,건성에 좋아요,보습에 좋아요,자극없이 순해요,"단독 사용하기보다는 수분크림이나 다른 크림과 함께 사용하는데, 드라마틱한 효과가 있다기 보다 더 나빠지지 않기 위한 보조 크림으로 사용해요.",1,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,오둥,복합성,겨울쿨톤,모공,미백,5점만점에 4점,2024.12.10,건성에 좋아요,보습에 좋아요,자극없이 순해요,보습 효과 좋다는 입소문에 구매해봤어요 일단 자극은 없고 빠른 흡수력이 있는 제품은 아닌거같지만 보호막 효과주려고 산거라 쭉 써볼게요,0,,
디오디너리 히알루로닉 애시드,루비루비룹룹,복합성,겨울쿨톤,모공,블랙헤드,5점만점에 5점,2024.12.01,건성에 좋아요,보습에 좋아요,자극없이 순해요,속당김이 있어서 꾸준히 사용해봤는데확실히 보습은 된거 같아요,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,른른이,건성,웜톤,모공,미백,5점만점에 5점,2024.12.01,건성에 좋아요,보습에 좋아요,자극없이 순해요,수분감이 느껴지면서 쫀득한 느낌의 제형이예요수분감이 농축된 느낌같아요,1,,
디오디너리 히알루로닉 애시드,미카일라,복합성,여름쿨톤,각질,모공,5점만점에 5점,2024.11.24,복합성에 좋아요,보습에 좋아요,보통이에요,이건 좀 효과가 보이네요 촉촉한게 좋아 졌어요 다른 제품하고 쉐어 해가면서 사용해요,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,루비루비룹룹,복합성,겨울쿨톤,모공,블랙헤드,5점만점에 5점,2024.10.19,건성에 좋아요,보습에 좋아요,자극없이 순해요,피부가 너무 건조해서 구매 했는데촉촉하고 순해서 아침저녁 너무 잘 사용하고 있어요. 또 피부 장벽케어에 도움이 되는 성분인 판테놀도 함유하고 있어 가성비가 너무 좋은거 같네요👍🏻👍🏻👍🏻,0,,
디오디너리 히알루로닉 애시드,짜이짱,,,,,5점만점에 4점,2024.10.01,건성에 좋아요,보습에 좋아요,자극없이 순해요,"단독 사용보다는 각종수분크림이나 다른 크림과 함께 사용하는데, 드라마틱한 효과가 있다기 보다 더 나빠지지 않기 위한 보조 크림으로 사용을 많이해요.",0,,
디오디너리 히알루로닉 애시드,미카일라,복합성,여름쿨톤,각질,모공,5점만점에 5점,2024.09.11,복합성에 좋아요,보습에 좋아요,자극없이 순해요,잘 발리고 향이 맘에 들어요 잔주름이 걱정이라 주문 했어요촉촉하네요,0,,
디오디너리 히알루로닉 애시드,김빠삐,건성,웜톤,민감성,잡티,5점만점에 4점,2024.07.06,건성에 좋아요,보습에 좋아요,자극없이 순해요,자극없이 순한건 맞아요근데 바르고 나면 좀 찰져요바르고 수분 앰플 같이 바르는게 좋을꺼 같아요,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
디오디너리 히알루로닉 애시드,김빠삐,건성,웜톤,민감성,잡티,5점만점에 4점,2024.06.04,건성에 좋아요,보습에 좋아요,자극없이 순해요,진짜 순해서 쓰기 좋아요다만 얘만 사용하면 진득해요다른 수분 앰플이랑 같이 바르고 크림으로 덮어줘야해요,0,,
디오디너리 히알루로닉 애시드,임금님강낭콩,복합성,쿨톤,모공,,5점만점에 5점,2024.04.11,복합성에 좋아요,보습에 좋아요,자극없이 순해요,히알루산 들어간 제품 중에 저렴하고 사용감도 만족스럽습니다. 촉촉해요.,0,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.
디오디너리 히알루로닉 애시드,임금님강낭콩,복합성,쿨톤,모공,,5점만점에 5점,2024.04.01,복합성에 좋아요,보습에 좋아요,자극없이 순해요,가서비 좋은 제품인 거 같아요. 세일 때 구매해서 듬뿍듬뿍 씁니다. 발림성도 좋구요.,0,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.
