product_name,id,tag,tag 2,point,date,poll_type1,txt,poll_type1 2,txt 2,poll_type1 3,txt 3,txt_inner,tag 3,tag 4,point_flag,more_msg,thum src 4
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,숑댕,건성,쿨톤,5점만점에 5점,2021.01.17,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,건조한 날씨에 엄마가 수분크림이 필요하다규 하셔서 주문했어요~유세린 제품은 처음 써봤어용후기가 좋길래 시켰는데 역시 후기 좋은 이유가 있었네요제형은 묽지듀 않고 그렇다규 무겁지도 않아요스킨 에센스 로션 아이크림 바르고 저거 발라주니겉돌지않고 산뜻하게 흡수되네여 최고좋아용 ㅎㅎ 바르고 자니 다음날 아침까지 피부속에 수분감이 채워져 피부가 마르지 않아요! 건성 피부이신분들께 추천드려요~ 엄마도 되게되게 만족하셨어용 👏👏유세린 제품은 처음 써봤는데 순하고 촉촉해서 겨울에 무난하게 쓰기 좋은거 같아요~ 재구매할 의사 있습니당,미백,잡티,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,바냥이,복합성,웜톤,5점만점에 4점,2021.08.23,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,보통이에요,건조한 피부에 좋은 것 같아요 적당히 유분기도 있으면서 부드럽게 잘 발리고 흡수된 후에는 엄청 촉촉해요 향도 좋고 괜찮은 것 같아요 딱히 자극도 없고 순한편인지 예민한 피부인데도 잘 맞네요,미백,주름,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,momo8771,,,5점만점에 5점,2020.07.06,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,피부가 금방 촉촉해지고 부드러워져요~ 유세린 크림 추천합니당,,,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,sodda,,,5점만점에 5점,2020.02.13,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,진짜 강추!!크림 유목민이었는데 이거쓰고 피부톤도밝아지고 무엇보다 진정효과가 짱입니다,,,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,0ㅌ0,,,5점만점에 5점,2019.12.11,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,나이트크림을 써보고나서 너무 좋아서 수분도 필요해 구매했는게 만족입니다!ㅎㅎㅎ 다른 라인도 구매해보고 싶네요,,,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,카츄123,,,5점만점에 5점,2025.05.11,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,"유세린 제품 진짜 좋은거 많은데,이 크림도 자극없이 건조함을 잡아줘서 좋음저녁에 바르면 아침까지 촉촉해서 요즘 아주 만족하면서 사용 중",,,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,눈누누,복합성,웜톤,5점만점에 4점,2019.12.07,피부타입,건성에 좋아요,피부고민,주름/미백에 좋아요,자극도,보통이에요,엄마 드리려고 세일기간 이용해 구매했습니다. 첫재날 구매했데도 배송은 느리네여ㅎㅎ,민감성,잡티,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,내돈내산러,,,5점만점에 4점,2019.01.13,,,,,,,"엄청 쫀듹!!해요. 손으로 콕 찍어 덜어내면 잘 친 휘핑크림처럼, 젤라또 아이스크림처럼 늘어나요. 맨날 중건성용 크림만 쓰다가 30대 들어서니 점점 피부가 건조해져서..글고 전에 쓰던 달팡제품이 잘 맞았는데, 너무건조할땐 향료때문인지 자극감이 있어서 무향인 유세린으로 사봤어요 편평사마귀 시술하고 메디폼 붙인 상태로 발라봐서 확실히는 모르겠지만 꽤 촉촉한 것 같아요. 에센스나 아이크림 안바르고 발랐는데도 많이 당기는 느낌이 없었어요.",,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,pink****,,,5점만점에 5점,2022.03.29,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,"속건조를 느껴서 건성용 보습제를 찾다가 구입하게 되었습니다! 민감한 피부임에도 따갑거나 뒤집어지지 않았고, 순하면서 보습에 충실한 크림입니다. 복합성과 지성은 약간 끈적임을 느낄 수 있으니 겨울에 사용하면 좋을 듯합니다 :) 마무리 보습제로 추천합니다",,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,쿠쿠2,건성,웜톤,5점만점에 4점,2024.06.11,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,보통이에요,믿고쓰는 유세린이라 구매해요여름이지만 건성이라 보습감이 중요해요,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,냥냥이다,,,5점만점에 5점,2021.08.16,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,요즘  화장대에  유세린 제품이 하나씩  둘씩 늘고있어요~^^할인가로 구매,,,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,영린느,,,5점만점에 5점,2021.02.05,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,바로 흡수해버리고 촉촉해요 냄새도 거의 없었어요,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,이요르임,,,5점만점에 5점,2019.12.26,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,이미 잘 사용하던 제품이라 재구매했습니다.보습력이 좋아서 촉촉하게 잘쓰고있어요~ 많이건조하다 싶을때는 페이스오일 한방울 섞어발라도 괜찮았어요ㅋ,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,카츄123,,,5점만점에 5점,2025.03.22,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,샘플 써보고 좋아서 구매했어요!건성피부 수분크림이지만 유분감이 심하지않아서 지성피부인 분들도 쓰기 좋을 것 같아요일단 자극이 없어서 아주 만족스럽게 쓰고있어요!,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,oooo****,건성,쿨톤,5점만점에 5점,2024.01.27,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,조금 듬쀽발라야 촉촉해요. 트러블은 없고 순한거같아요.,주름,탄력,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,oooo****,건성,쿨톤,5점만점에 4점,2023.12.05,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,세일해서 구매했는데 악건성한테는 조금 부족한느낌지만 나쁘지않아요,주름,탄력,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,min****,건성,쿨톤,5점만점에 4점,2023.01.27,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,보통이에요,요즘같은 건조한 날씨에 쓰기 적당해요 단점은 향이 별로예요~,민감성,홍조,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,ssy90****,,,5점만점에 5점,2021.10.20,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,맨날씁니당 한번씩 세일할때 쟁여놓아요 남녀공용으로 사용가능해요,,,재구매,2회 이상 구매한 상품에 대한 리뷰입니다.,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,ssy90****,,,5점만점에 5점,2021.10.20,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,복합성용과 건성용의 큰차이는 없지만 항상 잘 쓰는 제품입니다,,,한달사용리뷰,상품 구매 후 30일 동안 사용 후 작성하신 리뷰입니다.,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,kokuma****,,,5점만점에 5점,2021.09.16,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,보통이에요,두번째 구매예요. 약간 번들거림이 있는거 같긴해도 수분크림으론 전 좋아요,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,angels****,,,5점만점에 5점,2020.01.15,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,보습은 이게 최고인듯자극없어서 계속 사용하게 되네요,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,bibia****,,,5점만점에 4점,2018.10.06,,,,,,,수분크림필요했는데 세일상품이라 구매해봤어요 사용해봤는데 트러블도 안나고 나쁘지않아요 아침에 사용중인데 화장도 잘먹는거같아요:),,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,데레사빌,복합성,겨울쿨톤,5점만점에 3점,2024.10.22,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,보통이에요,딱히 큰 자극은 없는데 제가 정말 심한 악건성인지.. 이걸로 마무리해도 크게 도움이 없어서 아쉬워요. 원래 쓰던 루틴으로 가야할까봐요ㅜㅜ 바르고 흡수가 잘 되는거까지는 좋은데 표정을 지을 때 마다 피부의 당김이 잘 느껴져서 이걸로는 부족했어요ㅜ 앰플이나 에센스를 더 추가해야 나을거같은,모공,잡티,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,듣보제품이갑자기1위,복합성,웜톤,5점만점에 5점,2024.08.05,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,밤에 쓸 수분크림 찾다가 손등 테스트하고 적당히 유분감 있어서 바로 샀습니다잘 모르고 샀는데 판테놀이 고함량이더라구요판테놀이 고함량이면 트러블이 바로 나고 화끈거리는데이 제품은 저에게 트러블도 전혀 없이 촉촉하고 부드럽게 발렸습니다 여름에도 답답함없이 쓸 수 있고 적당한 유분감으로 수분도 잘 안 날라갈 것 같은 느낌이 들어요 그런지 큰 건조함도 없구요 이거 나이트 케어에 바르고 개운하게 잘 자고 일어나서 출근하면 피부 많이 좋아졌다고 왜이렇게 좋아졌나는 말 자주 들었습니다 제 피부에는 잘 맞는 제품 같아요 ㅎㅎ,각질,모공,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,듣보제품이갑자기1위,복합성,웜톤,5점만점에 5점,2024.06.23,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,안티에이징에 관심이 많은 수부지입니다.저는 슬프게도 판테놀이 안 맞고 바르면 바로 트러블 나는 사람입니다밤에 바를 수분크림 찾다가 발림감이 좋아 성분 안 보고그냥 사봤어요 발랐는데 너무 좋아서 제품 설명 읽어봤는데 주요성분이 판테놀이라고 하네요;주성분이 판테놀이 들어간 제품 쓰면 무조건 얼굴이 붉어지기 시작하면서 바로 뾰루지에 화농성까지 온갖 트러블 나는데 신기합니다 제 얼굴 자체가 판테놀 판독기인데..닦아내면 판테놀 제품 바른 것 처럼 피부도 보들보들 좋아요 신기한 제품이네요 정착할 것 같아요 ..,각질,모공,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,yum****,,,5점만점에 5점,2023.03.17,피부타입,건성에 좋아요,피부고민,진정에 좋아요,자극도,보통이에요,매장에서 구입했어요.세일 상품이에요.악건성 민감성피부라 요즘 더 심해져서진정이 필요해 매장에서 테스트 해보고 빌림성 괜찮은거 같아 건성용으로 선택자극 덜하고 발랐을때 촉촉 괜찮네요.건성이라 끈적임이 심하진 않아요.더 꾸준히 써봐야 효과를 알 수 있을듯해요~,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,minimiz,민감성,봄웜톤,5점만점에 5점,2023.01.08,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,꾸덕한 타입으로 전에 사용하던 유세린 아이크림 대용으로 눈가 근처에 사용중입니다 👍🏽아이크림이 무거우면 다음날 아침세수할때 눈가만 여러번 세수하는게 불편했었는데 이렇게 유세린 꾸덕 보습 크림으로 하니 그럴 걱정 없어 좋아요 추천👍🏽,모공,미백,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,온니유,건성,쿨톤,5점만점에 4점,2022.06.10,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,보통이에요,건성이라 수분감 유분감 둘다 많은 크림을 찾고 있었어요. 유세린 액티브 크림이 건성 피부용 버전으로 따로 있더라고요. 유세린이 워낙에 유명하고 또 후기도 나쁘지 않은것 같아서 구매했습니다.ㅎㅎㅎ 가끔 크림 화장품이 안맞으면 얼굴이 따갑거나 뾰루지 같은게 올라오는데 지금 일주일째 쓰고 있는데 딱히 피부에 자극되는건 못느꼈어요. 그리고 건성용으로 나온거라 그런지 유분감이 확실히 있네요. 저는 건성이라 이정도 유분감이 딱 좋았는데 지성이신 분들은 지금같은 여름 날씨에 쓰기엔 좀 부담스러울수도 있을것 같아요. 그밖에 특별한점들은 없네요. 보습감 좋은것 외에 다른 좋은점들은 못느꼈어요. ㅠㅠ그냥 보습용으로 쓸만한정도인것 같아요.ㅎㅎㅎ원가가 비싼데 세일기간이라 저렴하게 구매해서 만족합니다.,주름,탄력,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,OYLUV,복합성,웜톤,5점만점에 5점,2021.10.25,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,보통이에요,저는 현재 클렌저 제외 전 라인을 유세린으로 사용하고 있습니다. 확실히 날씨가 쌀쌀해지면서 피부도 슬슬 건조함이 느껴지더라구요ㅠㅠ 그래서 수분크림을 건성피부용으로 구입했는데 딱 지금 계절부터 사용하기 괜찮은 것 같아요~ 유세린 수분크림은 피부 속 건조까지 잘 잡아줘요. 아쿠아포린이 피부 속 수분길이라는데 이 부분까지도 잘 잡히는 것 같네요^^현재 에센스와 나이트크림도 유세린 주름라인인데 이렇게 사용하니 피부 유수분 밸런스가 잘 맞네요~ 다음달에 엄마도 사드려야 할 것 같아요. 백화점에서 판매하는 고가의 브랜드보다 품질이 훨씬 우수한 것 같아요. 재구매 의사 100% 입니다. 적극 추천해요~~! 주변 지인들에게도 유세린 널리널리 홍보하겠습니다ㅎㅎ 바디로션도 유세린으로 해야겠어요~^^,각질,블랙헤드,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,oi1****,,,5점만점에 5점,2021.10.04,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,제 피부는 수분이 부족한 지성피부에 민감피부에요 그래서 크림도 정말 여러가지 브랜드에서 쓰다가 트러블이 올라와서 항상 다써보지 못하고 버리기 마련이였어요ㅜㅜ 그뒤론 따로 크림이나 로션을 바르지 않았더니 트러블도 더 심해지는것같고 점점거건조해지는 날씨로 다시 크림을 발라줘야하나?하고 알아보다가 유세린 제품을 알게 됐는데요 처음엔 이것도 얼마 안쓰고 화장대에 처박히거나 쓰레기통으로 들어가는거 아닌가 기대반 걱정반이였는데 이제품 나쁘지 않은것 같아요 아직까지는!! 수분감도 적당하고 가렵거나 하는 부분도 없이 크게 끈적임도 심하지 않아 자기전에 발라주고 있답니다 아직 더써봐야 알겠지만 다쓸때까지 트러블이 없다면 재구매할 의향있어요 세일하거나 이벤트할때 사서 냉장고에 넣어두고 써야겠어요 아직까지는 만족합니다,,,,,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,멘탈짱짱,,,5점만점에 5점,2021.02.22,피부타입,건성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,유세린 크림 쫀득해서 좋아요유세린 아이크림도 좋아서 크림도 사봤어요드라이스킨이라는 이름답게 건성에 좋아요굉장히 건조한 겨울날... 항상 가습기를 틀고 자야하는 그런 건조한 밤...  유세린 아쿠아포린 크림 듬뿍.바르고 자면 피부가 촉촉해요.편안하게 잘 수 있습니다ㅎㅎㅎ향은 그냥 크림향? 부담스럽지 않은 향이에요 그냥 만족하며 쓰고 있습니다.보통 지복합성인데 겨울에만 건성이거든요근데 아쿠아포린 유세린크림 쓰고나서 피부가 당기거나 그런거누못느꼈어요ㅎㅎㅎ그리고 한달정도 썼는데 얼굴에 트러블 나는것도 없고 순한편인듯해요.  좋아용,,,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,다크쵸코나이트,,,5점만점에 5점,2020.02.12,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,보통이에요,속건조가 심해서 뭘써도 화장이 뜨고 예민한 피부인데 단독으로 사용하기보다 앰플쓰고 바르면 딱 좋아요!한겨울에는 드라이스킨만 쓰고 다른 계절에는 컴비네이션과 섞어서 사용하고있어요😊,,,,,
유세린 아쿠아포린 액티브 크림 포 드라이 스킨 50ml 건성피부용,졔졔씨,,,5점만점에 4점,2021.12.02,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,자극없이 순해요,* 악건성 예민한 피부입니다.유세린은 성분도 나쁘지 않고 무난하게 옛날부터 가끔씩 써왔어요. 데이크림은 사실 정착한게 없어서 이것저것 써보고 있지만 무난히 쓸수 있는 크림입니다.‘포 드라이스킨’ 이라고 하지만.. 저녁에 바르긴 너무 많이 가벼워서.. 손이 안가고 낮에 화장하기전 기초화장품으로 바르기엔 좋아요. 화장이 안밀립니다.화장전 낮에 바르는 수분크림용으로 사용하기 때문에 뭔가 섞어서 사용하진 않지만 제기준에 촉촉한 수분크림은 아니라 스킨을 보습력이 있는걸(닥터자르트 하이드라 바이옴 에센스)를 사용하고 있어요 그럼 낮동안 많이 건조하지 않게 지낼 수 있었던것 같아요.특별히 개선된 부분은 없지만 사용하면서 뾰루지가 올라오거나 하진 않았어요. 이 크림도 두통정도 사용했습니다.,,,한달사용리뷰,상품 구매 후 30일 동안 사용 후 작성하신 리뷰입니다.,https://static.oliveyoung.co.kr/pc-static-root/image/comm/my_picture_base.jpg
