product_name,id,point_flag,more_msg,point,date,txt,txt 2,txt 3,txt_inner
피부미 센텔루션 시카 크림,jha****,,,5점만점에 5점,2022.12.30,건성에 좋아요,진정에 좋아요,자극없이 순해요,정말 여드름 흉터때문에 이것저것 좋은 크림 국내든 해외든 다 써봤는데 효과가 있다?라고 느낀적이 없는데 자주조는 유튜버가 계속 광고하길래 속는셈치고 사보자 했는데 웬열 매번 나는 여드름에 똑같이 계속 남아있던 흉터가 옅어지는게 1주일도 아닌 며칠만에 눈에 보이는 효과가 보였어요!!! 진짜 너무 신기해서 또 사고 또 사고 이건 평생템으로 쓰려고요
피부미 센텔루션 시카 크림,dyddy****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2023.05.17,건성에 좋아요,진정에 좋아요,보통이에요,엄청 드라마틱한 효과를 본건... 잘 모르겠지만 여튼 효과있어요!
피부미 센텔루션 시카 크림,dyddy****,,,5점만점에 5점,2023.04.17,건성에 좋아요,진정에 좋아요,자극없이 순해요,일단 바를 때 시카 냄새?가 훅하고 순간 났었고 그러고 아무 향도 안 났아요 발림성은 수딩크림 같아요
피부미 센텔루션 시카 크림,tjdcjf****,,,5점만점에 5점,2023.03.23,지성에 좋아요,진정에 좋아요,보통이에요,빠른배송감사합니다 진짜 최고의 상품인거 같아요 너무 좋습니다
피부미 센텔루션 시카 크림,날아랄아,,,5점만점에 5점,2023.05.03,건성에 좋아요,진정에 좋아요,보통이에요,여드림 박멸시키는 제품 이것뿐인거 같아요 정말 좋아요👍
피부미 센텔루션 시카 크림,ygfvhhhh,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 1점,2023.04.18,건성에 좋아요,보습에 좋아요,보통이에요,딱히 좋다고 느껴지진 않았음..;; 그래서 산 거 후회중인데 케바케인듯
피부미 센텔루션 시카 크림,ygfvhhhh,,,5점만점에 3점,2023.03.11,건성에 좋아요,진정에 좋아요,보통이에요,음 생각한거보단 딱히 좋은거 같진 않았어요 오히려 저는 트러블이 더 났오요
피부미 센텔루션 시카 크림,shdbwl****,,,5점만점에 5점,2024.03.04,복합성에 좋아요,진정에 좋아요,자극없이 순해요,트러블 고민이 생겨서 구매했어요. 발림성은 가볍고 시원한 느낌 입니다. 밤낮 상관없이 사용해도 좋을 거 같아요. 첫인상이 좋아요 잘 써보겠습니다.
피부미 센텔루션 시카 크림,onlybtob****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2025.01.24,건성에 좋아요,보습에 좋아요,보통이에요,유난히 건조할땐 조금 따가웠지만 수분충전은 잘 되고 소량만 발라서 잘 흡수시켜줘야 합니다
피부미 센텔루션 시카 크림,jy95****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2024.11.16,복합성에 좋아요,진정에 좋아요,보통이에요,안녕하세요 처음써봤어요 좋은 것 같아요 재구매할것같습니다
피부미 센텔루션 시카 크림,rladudck****,,,5점만점에 5점,2024.11.10,건성에 좋아요,진정에 좋아요,자극없이 순해요,세안후 마지막 단계에 바르고 있는데 발림성도 괜찮고 자극이 없어서 좋아요
피부미 센텔루션 시카 크림,onlybtob****,,,5점만점에 4점,2024.11.09,건성에 좋아요,보습에 좋아요,보통이에요,피부안좋을때 바르면 살짝 따끔했어요 얇게 펴바르는게 좋더라구요
피부미 센텔루션 시카 크림,sksbsd****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2024.09.25,건성에 좋아요,보습에 좋아요,자극없이 순해요,좋아보여서 주문해봤는데 너무 괜찮은 거 같아여~~~!!
피부미 센텔루션 시카 크림,jy95****,,,5점만점에 5점,2024.08.19,복합성에 좋아요,진정에 좋아요,보통이에요,처음 써 봤는데 너무 좋아요다음에 함번 더 써보려규요번창하세용
피부미 센텔루션 시카 크림,sow****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 5점,2024.08.12,건성에 좋아요,보습에 좋아요,자극없이 순해요,한 달동안 꾸준히 사용하지 않아서 잡티가 연해졌는지는 모르겠지만 엄청 촉촉하고 유분끼가 있습니다
피부미 센텔루션 시카 크림,sksbsd****,,,5점만점에 5점,2024.08.03,건성에 좋아요,보습에 좋아요,자극없이 순해요,좋을 거 같아 주문해봤어요~~ 너무 괜찮네여ㅎㅎㅎ!!!!
피부미 센텔루션 시카 크림,bn****,한달이상사용,첫 리뷰 작성 후 30일 동안 사용 후 작성하신 리뷰입니다.,5점만점에 4점,2024.05.19,건성에 좋아요,진정에 좋아요,보통이에요,제품이 다소 자극적이지 않아서 사용하는데무리는 없어서 잘 바르면 도움이 되는것 같습니다.
피부미 센텔루션 시카 크림,sow****,,,5점만점에 5점,2024.05.12,건성에 좋아요,보습에 좋아요,자극없이 순해요,아직 2일차이지만 조금 밝아진 것 같아서 더 기대가 됩니다 촉촉하고 건성에 너무 좋아요 양도 많고 만약에 잡티가 없어진다면 재구매할 생각있습니다
피부미 센텔루션 시카 크림,wngn****,,,5점만점에 5점,2024.04.24,복합성에 좋아요,진정에 좋아요,자극없이 순해요,한 통 다쓰고 재구매 입니다보습에도 좋지만 트러블에 효과적이에요건조해서 트러블 생기는 피부타입인데간단하게 로션바르고 이거 하나 바르면 딱 좋습니다.
피부미 센텔루션 시카 크림,bn****,,,5점만점에 4점,2024.03.07,지성에 좋아요,보습에 좋아요,자극없이 순해요,처음 사용해 보는데 건조한 피부라서건성 전용 제품으로 구매 하였습니다.사용량을 조금만 해도 얼굴 전체에 바를수 있어서 좋은것 같습니다.부드러운 느낌이 있어서 좋은데 향은사용하는 분에 따라서 다를것 같습니다.
피부미 센텔루션 시카 크림,hotdog****,,,5점만점에 5점,2023.12.05,건성에 좋아요,보습에 좋아요,자극없이 순해요,너무 너무 좋네요~ 항상 믿고 구매하는 올리브영입니다~~ 지인들에게도 추천하려합니다~~세일 더많이 했으면 좋겠네요~~ 감사합니다~~
피부미 센텔루션 시카 크림,jaj00****,,,5점만점에 5점,2023.11.05,건성에 좋아요,보습에 좋아요,보통이에요,처음 사용해봤는데 보습도 잘되고 부들부들하고 좋은거같아용 아직 며칠안써서 나머지는 모르게써용
피부미 센텔루션 시카 크림,yukwon****,,,5점만점에 5점,2023.06.02,건성에 좋아요,진정에 좋아요,자극없이 순해요,진정도 잘되고 제품도 순한거 같아요! 다음에도 또 구매하려구요!
피부미 센텔루션 시카 크림,ghkdw****,,,5점만점에 5점,2023.05.24,복합성에 좋아요,보습에 좋아요,자극없이 순해요,건성도 지성도 아닌 속건조 오지는 복합성인데 바르고나니 간지럽지도않고 보습도 잘되는거같아 좋아요!
피부미 센텔루션 시카 크림,ksh****,,,5점만점에 4점,2023.04.01,건성에 좋아요,보습에 좋아요,보통이에요,칙 칙한 피부 개선에 도움이 되고점점 피부가 밝이지는 것 같아서 기분도 좋다 추천한다 올영 굿굿여러분도 경험해보세요굿굿
피부미 센텔루션 시카 크림,lk****,,,5점만점에 5점,2023.03.09,건성에 좋아요,진정에 좋아요,자극없이 순해요,광고를 마니해서 사봤는데 이거바르고 자서 그런지 모르게ㅛ는데 진정이돼요!
피부미 센텔루션 시카 크림,cha08****,,,5점만점에 3점,2023.02.10,건성에 좋아요,보습에 좋아요,보통이에요,한 일주일 넘게 써봤는데 여드름 흉터에 엄청 좋다고해서 여드름 흉터 진정시킬려고 사봤는데 진짜 효과가 별로없어요. 이거 다 광고였던거같아요 사지마세요ㅠ 돈낭비
피부미 센텔루션 시카 크림,ksh03****,,,5점만점에 5점,2023.01.14,건성에 좋아요,보습에 좋아요,자극없이 순해요,피부미 제품은 늘 잘이용해요ㅎ.ㅎ여드름때문에 피부 트러블에 고민많은 저에게역시 이게!  최고인거가탸요💛계속 꾸준히 나와쓰면조케떠여👍👋🤭또 구매했는데 오면 또 리뷰하려구요💜
피부미 센텔루션 시카 크림,noey****,,,5점만점에 5점,2022.12.29,복합성에 좋아요,진정에 좋아요,보통이에요,환절기에 쓰기좋아요 저는 악건성이라 한겨울에 쓰기엔 좀 가벼운것같아요
피부미 센텔루션 시카 크림,syk****,,,5점만점에 5점,2022.11.21,건성에 좋아요,보습에 좋아요,자극없이 순해요,수분감도 좋고 제형은 가벼워서 휘뚜루마뚜루 바르기 좋아요기초제품 여러개 발랐는데 요즘엔 이거 하나만 발라요 :)
